bakje,jaar,maand,dag,berging,afstroming,netto drainage,kwel,netto neerslag
verhard,1996,9,26,2434.926000,-6939.539100,-365.238900,365.238900,9374.465100
verhard,1996,9,27,2434.926000,-6209.061300,-365.238900,365.238900,6209.061300
verhard,1996,9,28,2434.926000,-1947.940800,-365.238900,365.238900,1947.940800
verhard,1996,9,29,2434.926000,-6574.300200,-365.238900,365.238900,6574.300200
verhard,1996,9,30,2434.926000,-14366.063400,-365.238900,365.238900,14366.063400
verhard,1996,10,1,1582.701900,0.000000,-365.238900,365.238900,-852.224100
verhard,1996,10,2,0.000000,0.000000,-365.238900,365.238900,-2191.433400
verhard,1996,10,3,1947.940800,0.000000,-365.238900,365.238900,1947.940800
verhard,1996,10,4,2434.926000,-13270.346700,-365.238900,365.238900,13757.331900
verhard,1996,10,5,1704.448200,0.000000,-365.238900,365.238900,-730.477800
verhard,1996,10,6,121.746300,0.000000,-365.238900,365.238900,-1582.701900
verhard,1996,10,7,0.000000,0.000000,-365.238900,365.238900,-1460.955600
verhard,1996,10,8,0.000000,0.000000,-365.238900,365.238900,-1095.716700
verhard,1996,10,9,2434.926000,-243.492600,-365.238900,365.238900,2678.418600
verhard,1996,10,10,1095.716700,0.000000,-365.238900,365.238900,-1339.209300
verhard,1996,10,11,0.000000,0.000000,-365.238900,365.238900,-1095.716700
verhard,1996,10,12,0.000000,0.000000,-365.238900,365.238900,-243.492600
verhard,1996,10,13,0.000000,0.000000,-365.238900,365.238900,-1826.194500
verhard,1996,10,14,0.000000,0.000000,-365.238900,365.238900,-1704.448200
verhard,1996,10,15,0.000000,0.000000,-365.238900,365.238900,-973.970400
verhard,1996,10,16,0.000000,0.000000,-365.238900,365.238900,-1339.209300
verhard,1996,10,17,0.000000,0.000000,-365.238900,365.238900,-1339.209300
verhard,1996,10,18,2434.926000,-243.492600,-365.238900,365.238900,2678.418600
verhard,1996,10,19,2191.433400,0.000000,-365.238900,365.238900,-243.492600
verhard,1996,10,20,2434.926000,-18140.198700,-365.238900,365.238900,18383.691300
verhard,1996,10,21,1460.955600,0.000000,-365.238900,365.238900,-973.970400
verhard,1996,10,22,243.492600,0.000000,-365.238900,365.238900,-1217.463000
verhard,1996,10,23,0.000000,0.000000,-365.238900,365.238900,-1460.955600
verhard,1996,10,24,0.000000,0.000000,-365.238900,365.238900,-1339.209300
verhard,1996,10,25,0.000000,0.000000,-365.238900,365.238900,-365.238900
verhard,1996,10,26,0.000000,0.000000,-365.238900,365.238900,-852.224100
verhard,1996,10,27,2434.926000,-21062.109900,-365.238900,365.238900,23497.035900
verhard,1996,10,28,2434.926000,-14366.063400,-365.238900,365.238900,14366.063400
verhard,1996,10,29,2434.926000,-4869.852000,-365.238900,365.238900,4869.852000
verhard,1996,10,30,1704.448200,0.000000,-365.238900,365.238900,-730.477800
verhard,1996,10,31,2434.926000,-14244.317100,-365.238900,365.238900,14974.794900
